1 Etats-Unis;120,5
2 Yémen;52,8
3 Monténégro;39,1
4 Serbie;39,1
5 Canada;34,7
6 Uruguay;34,7
7 Chypre;34,0
8 Finlande;32,4
9 Liban;31,9
10 Islande;31,7
11 Bosnie-Herzégovine;31,2
12 Autriche;30,0
13 Macédoine;29,8
14 Norvège;28,8
15 Malte;28,3
16 Suisse;27,6
17 Nouvelle-Zélande;26,3
18 Kosovo;23,8
19 Suède;23,1
20 Pakistan;22,3
21 Portugal;21,3
22 France;19,6
23 Allemagne;19,6
24 Irak;19,6
25 Luxembourg;18,9
